beep,pulseRate,pulseWaveform,bloodSpO2,time,
False,77,156,97,2018-06-12 12:27:15.539693,
False,77,157,97,2018-06-12 12:27:15.556361,
False,77,160,97,2018-06-12 12:27:15.573009,
False,77,164,97,2018-06-12 12:27:15.589701,
False,77,170,97,2018-06-12 12:27:15.606366,
False,77,178,97,2018-06-12 12:27:15.623033,
False,77,185,97,2018-06-12 12:27:15.639685,
False,77,192,97,2018-06-12 12:27:15.656456,
False,77,197,97,2018-06-12 12:27:15.673014,
False,77,201,97,2018-06-12 12:27:15.689683,
False,77,202,97,2018-06-12 12:27:15.706352,
False,77,201,97,2018-06-12 12:27:15.723023,
False,77,200,97,2018-06-12 12:27:15.739686,
False,77,198,97,2018-06-12 12:27:15.756346,
True,96,195,97,2018-06-12 12:27:15.773006,
True,96,192,97,2018-06-12 12:27:15.789685,
False,96,189,97,2018-06-12 12:27:15.806332,
False,96,187,97,2018-06-12 12:27:15.823021,
False,96,184,97,2018-06-12 12:27:15.839689,
False,96,182,97,2018-06-12 12:27:15.856350,
False,96,179,97,2018-06-12 12:27:15.873009,
False,96,177,97,2018-06-12 12:27:15.889681,
False,96,175,97,2018-06-12 12:27:15.906331,
False,96,173,97,2018-06-12 12:27:15.923069,
False,96,172,97,2018-06-12 12:27:15.939691,
False,96,171,97,2018-06-12 12:27:15.956360,
False,96,169,97,2018-06-12 12:27:15.973023,
False,96,168,97,2018-06-12 12:27:15.989676,
False,96,166,97,2018-06-12 12:27:16.006351,
False,96,164,97,2018-06-12 12:27:16.023075,
False,96,161,97,2018-06-12 12:27:16.039670,
False,96,159,97,2018-06-12 12:27:16.056362,
False,96,158,97,2018-06-12 12:27:16.073014,
False,96,156,97,2018-06-12 12:27:16.089665,
False,96,156,97,2018-06-12 12:27:16.106332,
False,96,156,97,2018-06-12 12:27:16.123024,
False,96,156,97,2018-06-12 12:27:16.139658,
False,96,159,97,2018-06-12 12:27:16.156341,
False,96,164,97,2018-06-12 12:27:16.173025,
False,96,169,97,2018-06-12 12:27:16.189669,
False,96,177,97,2018-06-12 12:27:16.206361,
False,96,186,97,2018-06-12 12:27:16.222989,
False,96,194,97,2018-06-12 12:27:16.239705,
False,96,201,97,2018-06-12 12:27:16.256383,
False,96,206,97,2018-06-12 12:27:16.273006,
False,96,209,97,2018-06-12 12:27:16.289663,
False,96,210,97,2018-06-12 12:27:16.306356,
False,96,210,97,2018-06-12 12:27:16.322998,
False,96,209,97,2018-06-12 12:27:16.339751,
False,96,206,97,2018-06-12 12:27:16.356350,
True,100,204,97,2018-06-12 12:27:16.372988,
True,100,201,97,2018-06-12 12:27:16.389675,
False,100,198,97,2018-06-12 12:27:16.406338,
False,100,195,97,2018-06-12 12:27:16.422999,
False,100,194,97,2018-06-12 12:27:16.439687,
False,100,192,97,2018-06-12 12:27:16.456367,
